product_id,product_name,category,plan_tier,unit_price,unit_cost,is_subscription,valid_from,valid_to,updated_at
PROD-001,Sales Insights Starter,Analytics,Starter,49.0,20.53,True,2023-04-21,,2023-05-18 00:00:00
PROD-002,Sales Insights Pro,Analytics,Professional,149.0,43.18,True,2023-06-07,,2023-07-03 00:00:00
PROD-003,Revenue Intelligence,Analytics,Enterprise,399.0,168.1,True,2023-02-04,2025-11-20,2023-03-02 00:00:00
PROD-004,Campaign Optimizer,Marketing,Professional,199.0,62.81,True,2023-05-24,,2023-06-16 00:00:00
PROD-005,Lead Scoring API,AI Services,Enterprise,499.0,157.62,True,2023-10-03,,2023-10-03 00:00:00
PROD-006,Customer 360 Export,Data Services,Starter,79.0,34.47,True,2023-06-28,,2023-07-20 00:00:00
PROD-007,Data Quality Monitor,Governance,Professional,249.0,127.63,True,2023-09-23,,2023-09-30 00:00:00
PROD-008,Attribution Model Pack,Marketing,Enterprise,599.0,216.95,False,2023-07-05,2025-10-29,2023-07-11 00:00:00
PROD-009,Pipeline Forecast Add-On,AI Services,Professional,299.0,85.61,True,2023-10-15,,2023-11-13 00:00:00
PROD-010,Executive Dashboard Pack,Reporting,Starter,129.0,44.61,False,2023-11-28,2025-04-01,2023-12-10 00:00:00
PROD-011,Partner Portal Connector,Integration,Enterprise,699.0,204.22,True,2023-01-04,,2023-01-19 00:00:00
PROD-012,CRM Sync Connector,Integration,Professional,189.0,79.55,True,2023-07-05,2025-03-07,2023-07-08 00:00:00
