customer_id,account_id,customer_name,email,country,city,signup_date,acquisition_channel,customer_segment,company_size,industry,status,updated_at
CUST-000001,ACC-000001,"Rodriguez, Figueroa and Sanchez",contact1@rodriguezfigueroaa.example,United States,San Francisco,2025-10-03,Organic,Enterprise,1-10,Logistics,Active,2025-11-18 00:00:00
CUST-000002,ACC-000002,Doyle Ltd,contact2@doyleltd.example,Spain,Seville,2024-02-15,Email,SMB,51-200,Financial Services,Churned,2024-03-27 00:00:00
CUST-000003,ACC-000003,"Mcclain, Miller and Henderson",contact3@mcclainmillerandhe.example,Netherlands,Utrecht,2024-10-17,Paid Search,Startup,201-1000,Professional Services,Active,2024-10-23 00:00:00
CUST-000004,ACC-000004,Davis and Sons,contact4@davisandsons.example,Germany,Cologne,2024-11-30,Email,SMB,51-200,Education,Active,2024-12-10 00:00:00
CUST-000005,ACC-000005,"Guzman, Hoffman and Baldwin",contact5@guzmanhoffmanandba.example,Germany,Berlin,2025-08-06,Referral,Mid-Market,11-50,Professional Services,Active,2025-09-29 00:00:00
CUST-000006,ACC-000006,"Gardner, Robinson and Lawrence",contact6@gardnerrobinsonand.example,Spain,Bilbao,2024-04-04,Email,Enterprise,51-200,Financial Services,Active,2024-05-25 00:00:00
CUST-000007,ACC-000007,Blake and Sons,contact7@blakeandsons.example,United States,San Francisco,2024-11-13,Organic,Startup,51-200,Manufacturing,Active,2025-01-02 00:00:00
CUST-000008,ACC-000008,"Henderson, Ramirez and Lewis",contact8@hendersonramirezan.example,Netherlands,Utrecht,2024-04-21,Partner,Startup,11-50,Professional Services,Active,2024-05-05 00:00:00
CUST-000009,ACC-000009,Garcia-James,contact9@garcia-james.example,Canada,Calgary,2025-07-29,Email,SMB,201-1000,Retail,Active,2025-09-13 00:00:00
CUST-000010,ACC-000010,Abbott-Munoz,contact10@abbott-munoz.example,United States,Seattle,2025-04-07,Paid Social,SMB,51-200,Logistics,Active,2025-04-12 00:00:00
CUST-000011,ACC-000011,Blair PLC,contact11@blairplc.example,France,Lyon,2024-12-29,Direct,Mid-Market,201-1000,Education,Active,2025-01-11 00:00:00
CUST-000012,ACC-000012,Dudley Group,contact12@dudleygroup.example,Australia,Perth,2024-10-14,Referral,Mid-Market,51-200,Retail,Active,2024-11-28 00:00:00
CUST-000013,ACC-000013,Arnold Ltd,contact13@arnoldltd.example,Netherlands,Rotterdam,2024-04-21,Direct,Enterprise,1001-5000,Technology,Active,2024-06-16 00:00:00
CUST-000014,ACC-000014,"Mcclure, Ward and Lee",contact14@mcclurewardandlee.example,Spain,Barcelona,2025-11-04,Direct,Enterprise,11-50,Financial Services,Active,2026-01-02 00:00:00
CUST-000015,ACC-000015,Williams and Sons,contact15@williamsandsons.example,Netherlands,Utrecht,2025-04-18,Partner,Mid-Market,11-50,Manufacturing,Inactive,2025-07-16 00:00:00
CUST-000016,ACC-000016,Galloway-Wyatt,contact16@galloway-wyatt.example,Spain,Bilbao,2024-08-21,Referral,SMB,51-200,Manufacturing,Active,2024-11-06 00:00:00
CUST-000017,ACC-000017,James Group,contact17@jamesgroup.example,France,Lyon,2024-10-29,Email,Enterprise,51-200,Logistics,Active,2024-12-02 00:00:00
CUST-000018,ACC-000018,"Flowers, Martin and Kelly",contact18@flowersmartinandke.example,Canada,Montreal,2025-06-14,Paid Search,Mid-Market,51-200,Media,Inactive,2025-08-24 00:00:00
CUST-000019,ACC-000019,"Adams, Zuniga and Wong",contact19@adamszunigaandwong.example,Spain,Madrid,2025-06-10,Email,SMB,201-1000,Financial Services,Active,2025-06-18 00:00:00
CUST-000020,ACC-000020,"Reid, Ferguson and Sanchez",contact20@reidfergusonandsan.example,Germany,Berlin,2024-12-03,Referral,Mid-Market,11-50,Education,Active,2025-02-19 00:00:00
CUST-000021,ACC-000021,Gray-Mayo,contact21@gray-mayo.example,France,Paris,2024-08-09,Organic,Enterprise,1-10,Manufacturing,Active,2024-09-13 00:00:00
CUST-000022,ACC-000022,"Watts, Robinson and Nguyen",contact22@wattsrobinsonandng.example,United Kingdom,London,2025-04-27,Partner,SMB,51-200,Financial Services,Active,2025-07-05 00:00:00
CUST-000023,ACC-000023,Perez Inc,contact23@perezinc.example,Canada,Ottawa,2025-04-26,Paid Search,Mid-Market,201-1000,Professional Services,Inactive,2025-07-23 00:00:00
CUST-000024,ACC-000024,Morales-Jones,contact24@morales-jones.example,Australia,Adelaide,2025-03-14,Organic,SMB,1001-5000,Education,Active,2025-05-16 00:00:00
CUST-000025,ACC-000025,"Walter, Edwards and Rios",contact25@walteredwardsandri.example,Spain,Bilbao,2024-02-23,Organic,Startup,201-1000,Technology,Active,2024-05-16 00:00:00
CUST-000026,ACC-000026,Wilkerson-Day,contact26@wilkerson-day.example,Netherlands,Amsterdam,2024-12-11,Organic,Enterprise,201-1000,Manufacturing,Active,2024-12-11 00:00:00
CUST-000027,ACC-000027,Baker and Sons,contact27@bakerandsons.example,Germany,Berlin,2025-03-24,Paid Search,Startup,201-1000,Media,Active,2025-04-08 00:00:00
